id;date;details;status;payment_method;payment_date;payment_amount
1;2021-02-11T20:24:39;RAM Focused;PAID;CASH_ON_DELIVERY;2021-02-12T04:46:46;64379
2;2021-02-11T17:14:45;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2021-02-11T22:25:03;17323
3;2021-02-11T21:42:10;Incredible Baby;CANCELLED;PAYPAL;2021-02-12T01:13:51;11017
4;2021-02-11T19:12:05;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2021-02-11T19:16:13;51438
5;2021-02-11T13:52:13;function;PAID;PAYPAL;2021-02-12T06:26:18;32278
6;2021-02-11T14:52:01;action-items;CANCELLED;CASH_ON_DELIVERY;2021-02-12T04:39:13;5232
7;2021-02-12T07:38:44;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2021-02-12T01:16:06;62169
8;2021-02-11T17:33:48;Toys;ISSUED;PAYPAL;2021-02-12T04:11:45;10756
9;2021-02-11T19:04:13;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2021-02-12T08:47:46;58055
10;2021-02-11T17:41:58;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2021-02-12T06:08:09;94075
