id;placed_date;status;code
1;2021-02-12T03:46:39;COMPLETED;Georgia calculate withdrawal
2;2021-02-11T14:43:09;COMPLETED;compress Steel out-of-the-box
3;2021-02-11T16:14:21;PENDING;Concrete
4;2021-02-12T05:40:16;CANCELLED;Investment Account
5;2021-02-11T16:57:06;PENDING;United States of America
6;2021-02-12T07:09:10;CANCELLED;IB Industrial Credit Card Account
7;2021-02-12T10:15:35;CANCELLED;Cotton Egyptian Pound
8;2021-02-11T19:11:39;COMPLETED;Home Loan Account
9;2021-02-12T04:05:55;COMPLETED;Human
10;2021-02-11T14:14:33;CANCELLED;payment
